trial,timestamp,x,y
5,1707243335620.5105,927,-1515
5,1707243335636.5186,927,-1515
5,1707243335651.139,927,-1515
5,1707243335666.1455,927,-1515
5,1707243335681.974,927,-1515
5,1707243335697.408,927,-1515
5,1707243335712.5588,927,-1515
5,1707243335728.4482,927,-1515
5,1707243335744.2915,927,-1515
5,1707243335759.9434,927,-1515
5,1707243335775.1184,927,-1515
5,1707243335793.1438,927,-1515
5,1707243335808.1477,927,-1515
5,1707243335824.1396,927,-1515
5,1707243335842.447,927,-1515
5,1707243335853.3262,927,-1515
5,1707243335867.5242,927,-1515
5,1707243335882.745,927,-1515
5,1707243335898.5286,927,-1515
5,1707243335915.5183,977,-1431
5,1707243335930.371,1035,-1338
5,1707243335945.475,1092,-1249
5,1707243335961.307,1142,-1171
5,1707243335976.5376,1187,-1099
5,1707243335992.4265,1199,-1078
5,1707243336008.1838,1203,-1068
5,1707243336023.8872,1206,-1063
5,1707243336039.8752,1206,-1062
5,1707243336055.8286,1206,-1062
5,1707243336072.8271,1206,-1062
5,1707243336087.4634,1206,-1062
5,1707243336101.4402,1206,-1062
5,1707243336116.4114,1206,-1062
5,1707243336131.9028,1206,-1062
5,1707243336148.1968,1206,-1062
5,1707243336163.6907,1206,-1062
5,1707243336179.1755,1206,-1062
5,1707243336195.2341,1206,-1062
5,1707243336211.0303,1206,-1062
5,1707243336226.3948,1206,-1062
5,1707243336242.323,1206,-1062
5,1707243336257.9045,1206,-1062
5,1707243336273.1267,1206,-1062
5,1707243336288.4402,1206,-1062
5,1707243336304.2944,1206,-1062
5,1707243336319.6956,1206,-1062
5,1707243336335.4023,1206,-1062
5,1707243336351.4224,1206,-1062
5,1707243336366.4827,1206,-1062
5,1707243336382.6333,1206,-1062
5,1707243336398.116,1206,-1062
5,1707243336414.2666,1206,-1062
5,1707243336430.4128,1206,-1062
5,1707243336445.787,1206,-1062
5,1707243336461.7957,1206,-1062
5,1707243336476.9824,1206,-1062
5,1707243336493.0486,1206,-1062
5,1707243336509.9539,1206,-1062
5,1707243336525.9563,1206,-1062
5,1707243336584.4724,1206,-1062
5,1707243336587.4685,1206,-1062
5,1707243336603.4895,1206,-1062
5,1707243336626.47,1206,-1062
5,1707243336635.4995,1206,-1062
5,1707243336651.1458,1206,-1062
5,1707243336667.2476,1206,-1062
5,1707243336683.253,1206,-1062
5,1707243336698.418,1206,-1062
5,1707243336713.6938,1206,-1062
5,1707243336729.564,1206,-1062
5,1707243336745.2566,1206,-1062
5,1707243336760.1948,1206,-1062
5,1707243336776.641,1206,-1062
5,1707243336791.641,1206,-1062
5,1707243336807.2698,1206,-1062
5,1707243336822.6816,1206,-1062
5,1707243336839.9927,1206,-1062
5,1707243336853.9507,1206,-1062
5,1707243336870.5212,1206,-1062
5,1707243336885.5251,1206,-1062
5,1707243336901.98,1206,-1062
5,1707243336917.8657,1206,-1062
5,1707243336932.9001,1206,-1062
5,1707243336949.875,1206,-1062
5,1707243336966.0657,1206,-1062
5,1707243336981.8025,1206,-1062
5,1707243336997.8784,1206,-1062
5,1707243337012.5183,1206,-1062
5,1707243337026.9985,1206,-1062
5,1707243337043.1863,1206,-1062
5,1707243337059.2334,1206,-1062
5,1707243337074.4084,1206,-1062
5,1707243337089.3435,1206,-1062
5,1707243337104.7754,1206,-1062
5,1707243337121.0369,1206,-1062
5,1707243337136.2112,1206,-1062
5,1707243337152.355,1206,-1062
5,1707243337168.6624,1206,-1062
5,1707243337183.862,1206,-1062
5,1707243337199.761,1206,-1062
5,1707243337214.9849,1206,-1062
5,1707243337230.07,1206,-1062
5,1707243337245.9731,1206,-1062
5,1707243337261.2969,1206,-1062
5,1707243337277.9097,1206,-1062
5,1707243337292.1785,1206,-1062
5,1707243337308.2097,1206,-1062
5,1707243337323.3435,1206,-1062
5,1707243337339.487,1206,-1062
5,1707243337355.4106,1206,-1062
5,1707243337370.0833,1206,-1062
5,1707243337386.185,1206,-1062
5,1707243337401.9363,1206,-1062
5,1707243337417.9707,1206,-1062
5,1707243337433.102,1206,-1062
5,1707243337448.5789,1206,-1062
5,1707243337463.7058,1206,-1062
5,1707243337479.7112,1206,-1062
5,1707243337495.5916,1206,-1062
5,1707243337511.1746,1206,-1062
5,1707243337527.4336,1206,-1062
5,1707243337541.8403,1206,-1062
5,1707243337557.073,1206,-1062
5,1707243337573.4475,1206,-1062
5,1707243337588.8384,1206,-1062
5,1707243337603.1023,1206,-1062
